"index","id","name","wikiUrl","assetFile"
"1","abqYLNdjsx092444","rbt5","https://wiki.warthunder.com/unit/ussr_rbt_5",""
"2","AExHMyzEdT159816","kv1（晚）","https://wiki.warthunder.com/unit/ussr_kv_1_zis_5","ussr_kv_1_zis_5.grp"
"3","ajwAlWaPzA684030","黑豹d","https://wiki.warthunder.com/unit/germ_pzkpfw_V_ausf_d_panther","germ_pzkpfw_v_ausf_d_panther.grp"
"4","AWddNDImhb058496","zsu57-2","https://wiki.warthunder.com/unit/ussr_zsu_57_2","ussr_zsu_57_2.grp"
"5","bFBpgFCJEA469020","ztz100","",""
"6","BJlXnaCKSt128391","t72a","https://wiki.warthunder.com/unit/ussr_t_72a","ussr_t_72a.grp"
"7","brjNaZNgSb518688","kv1s","https://wiki.warthunder.com/unit/ussr_kv_1s","ussr_kv_1s.grp"
"8","bYmPFapkrd646150","t72b3","https://wiki.warthunder.com/unit/ussr_t_72b3_2011","ussr_t_72b3.grp"
"9","CDPjxYUvrX349440","kv2","https://wiki.warthunder.com/unit/ussr_kv_2_1939","ussr_kv_2.grp"
"10","CDWjXWcKUJ862347","t55","https://wiki.warthunder.com/unit/ussr_t_55a","ussr_t_55a.grp"
"11","cIcbLxaVta921609","突击虎","https://wiki.warthunder.com/unit/germ_sturmmorser_sturmtiger","germ_sturmmorser_sturmtiger.grp"
"12","CixxElobBz949463","虎王（1-50）","https://wiki.warthunder.com/unit/germ_pzkpfw_VI_ausf_b_tiger_IIp","germ_pzkpfw_vi_ausf_b_tiger.grp"
"13","CQHQLlbCKz997321","三号突击炮f","https://wiki.warthunder.com/unit/germ_stug_III_ausf_F","germ_stug_iii_ausf_f.grp"
"14","dHYxvCkOMH316211","isu152","https://wiki.warthunder.com/unit/ussr_isu_152","ussr_isu_152.grp"
"15","doycduRZVb149869","t55am","https://wiki.warthunder.com/unit/ussr_t_55_am","ussr_t_55am.grp"
"16","dUHlIXjWsg371124","虎e（苏）","https://wiki.warthunder.com/unit/germ_pzkpfw_VI_ausf_e_tiger","germ_pzkpfw_vi_ausf_e_tiger.grp"
"17","DWeLMrILew632459","m4a2（76）（苏）","https://wiki.warthunder.com/unit/ussr_m4a2_76w_sherman","usa_m4a2_sherman_1944.grp"
"18","dwODhyNoNQ837420","isu122","https://wiki.warthunder.com/unit/ussr_isu_122","ussr_isu_152.grp"
"19","dYkSLfxWUN158140","黑豹g","https://wiki.warthunder.com/unit/germ_pzkpfw_V_ausf_g_panther","germ_pzkpfw_v_ausf_g_panther.grp"
"20","EpQlXdSQcr400165","kv1e","https://wiki.warthunder.com/unit/ussr_kv_1e","ussr_kv_1e.grp"
"21","eqbqICaCOr301752","kv1e（德国）","https://wiki.warthunder.com/unit/germ_kv_1B_finland",""
"22","EQLcHxEAXy265141","m4a3e2（76）","https://wiki.warthunder.com/unit/us_m4a3e2_76w_sherman_jumbo","usa_m4a3e2_sherman_jumbo.grp"
"23","ERhRcqycEL241564","kv1e（芬兰）","https://wiki.warthunder.com/unit/germ_kv_1B_finland",""
"24","EVpBTfDmzZ476815","bt7","https://wiki.warthunder.com/unit/ussr_bt_7_1937","ussr_bt_7.grp"
"25","ezjaVmqfBk166853","t34-76(德国）","https://wiki.warthunder.com/unit/germ_t_34_747","germ_t_34_747.grp"
"26","FAXwzMzZhz803796","asu85","https://wiki.warthunder.com/unit/ussr_asu_85","ussr_asu_85.grp"
"27","fBOjisHmiy607175","plz05","https://wiki.warthunder.com/unit/cn_plz_05","cn_plz_05.grp"
"28","FfwkOUywUA568623","m4","https://wiki.warthunder.com/unit/us_m4_sherman","usa_m4_sherman_late.grp"
"29","fMpCnbteuM210809","豹2k","https://wiki.warthunder.com/unit/germ_leopard_2k","germ_leopard_2k.grp"
"30","fPutsrAqTN343132","kv2(德国）","https://wiki.warthunder.com/unit/germ_kv_2_754r",""
"31","fXGlOnWwhy794514","t72b","https://wiki.warthunder.com/unit/ussr_t_72b","ussr_t_72b.grp"
"32","gaJZdFgLTf695150","t80b","https://wiki.warthunder.com/unit/ussr_t_80b","ussr_t_80b.grp"
"33","GBEzvSlZEf270511","16式","https://wiki.warthunder.com/unit/jp_type_16_mcv_prot","jp_type_16_mcv.grp"
"34","gBMzjTDBaZ229541","sd.Kfz234/4","https://wiki.warthunder.com/unit/germ_sdkfz_234_4","germ_sdkfz_234_4.grp"
"35","GgKPLteHtu306205","黑豹II","https://wiki.warthunder.com/unit/germ_panther_II","germ_pzkpfw_v_panther_ii.grp"
"36","gGQLPCPUWl902098","kv1（德国）","https://wiki.warthunder.com/unit/ussr_kv_1_L_11",""
"37","gKmhipdBaS696303","t34（1942）","https://wiki.warthunder.com/unit/ussr_t_34_1942","ussr_t_34_1942.grp"
"38","gQhrudtAZs935548","t64b","https://wiki.warthunder.com/unit/ussr_t_64_b_1984","ussr_t_64_b.grp"
"39","guijDXSWTf298463","黑豹原型车","https://wiki.warthunder.com/unit/germ_vk_3002m","germ_vk_3002m.grp"
"40","hKwbBctAwB126758","bmp2m","https://wiki.warthunder.com/unit/ussr_bmp_2m",""
"41","HTJwKMGQfp564722","m1a2","https://wiki.warthunder.com/unit/us_m1a2_abrams","usa_m1a2_abrams.grp"
"42","iExggWIStn745984","豹1","https://wiki.warthunder.com/unit/germ_leopard_I","germ_leopard_1.grp"
"43","IgoDOVtjny286147","豹1a5","https://wiki.warthunder.com/unit/germ_leopard_1a5","germ_leopard_1a5.grp"
"44","imLLNWJvCm745488","t80u","https://wiki.warthunder.com/unit/ussr_t_80u","ussr_t_80u.grp"
"45","IPDOjzKDIZ526426","反坦克短导弹","",""
"46","iTpcUXDRTe953231","豹2a7","https://wiki.warthunder.com/unit/germ_leopard_2a7v","germ_leopard_2a7v.grp"
"47","IwnfLofTNV936851","t80bvm","https://wiki.warthunder.com/unit/ussr_t_80bvm","ussr_t_80bvm.grp"
"48","IYbjbUlQat694129","kv1（早）","https://wiki.warthunder.com/unit/ussr_kv_1_l_11","ussr_kv_1_l_11.grp"
"49","jElsrLBWfk537760","克伦威尔1","https://wiki.warthunder.com/unit/uk_a27m_cromwell_1","uk_a27m_cromwell_1.grp"
"50","jIshHuUVYH534647","25mm机炮","",""
"51","JRHqjYLfKH678477","bmpt","https://wiki.warthunder.com/unit/ussr_bmpt_72","ussr_bmpt_72.grp"
"52","JwucNWZNeo521692","t54","https://wiki.warthunder.com/unit/ussr_t_54_1951","ussr_t_54_1951.grp"
"53","JXxEpEZYOt258630","豹2a6","https://wiki.warthunder.com/unit/germ_leopard_2a6","germ_leopard_2a6.grp"
"54","kgOAmtIgiT622643","bt7m","https://wiki.warthunder.com/unit/ussr_bt_7_m","ussr_bt_7m.grp"
"55","KlUkpDHliB577918","三号m","https://wiki.warthunder.com/unit/germ_pzkpfw_III_ausf_M","germ_pzkpfw_iii_ausf_m.grp"
"56","KluoZMAlmy467076","豹2a4","https://wiki.warthunder.com/unit/germ_leopard_2a4","germ_leopard_2a4.grp"
"57","KSSXYDCgkl233806","t34-85","https://wiki.warthunder.com/unit/ussr_t_34_85_zis_53","ussr_t_34_85_zis_53.grp"
"58","KuSPOkxngG289743","m4a3（105）","https://wiki.warthunder.com/unit/us_m4a3_105_sherman","usa_m4_sherman_late.grp"
"59","lcffkQUwyf860113","谢尔曼m4a2（德国）","https://wiki.warthunder.com/unit/us_m4a2_1944_germ","usa_m4a2_sherman_1944.grp"
